id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,under_pressure,out,aerial_won,ball_recovery_recovery_failure,pass_cross,counterpress,technique_id,technique_name,foul_won_defensive,off_camera,pass_switch,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,end_z,shot_key_pass_id,goalkeeper_position_id,goalkeeper_position_name,shot_one_on_one,pass_shot_assist,shot_first_time,pass_no_touch,block_offensive,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,dribble_overrun,injury_stoppage_in_chain,substitution_replacement_id,substitution_replacement_name,pass_deflected,bad_behaviour_card_id,bad_behaviour_card_name,jersey_number,player_name_recipient,jersey_number_recipient
cc70f393-5ff4-45a2-9b07-ea02889171f2,1,1,00:00:00,0,0,1,0.0,3869684,35,Starting XI,785,Croatia,1,Regular Play,785,Croatia,4231.0,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fbc32f2-2e9f-4f45-95bd-0ec1676619ca,2,1,00:00:00,0,0,1,0.0,3869684,35,Starting XI,785,Croatia,1,Regular Play,788,Morocco,433.0,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c17c99c-fd20-4631-b46b-57ce346de3a4,3,1,00:00:00,0,0,1,0.0,3869684,18,Half Start,785,Croatia,1,Regular Play,785,Croatia,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98c3d500-df1a-448c-be09-8149920ca0c4,4,1,00:00:00,0,0,1,0.0,3869684,18,Half Start,785,Croatia,1,Regular Play,788,Morocco,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846376f6-944d-45d7-b860-4b6b2efd193c,5,1,00:00:02.062000,0,2,2,1.382156,3869684,30,Pass,785,Croatia,9,From Kick Off,785,Croatia,,5456.0,Mateo Kovačić,11.0,Left Defensive Midfield,33018.0,Joško Gvardiol,21.302582,-2.923942,1.0,Ground Pass,39.2,35.4,40.0,Right Foot,65.0,Kick Off,60.0,40.0,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Joško Gvardiol,20.0
0f272617-8bd0-4a9d-8bc6-75adaf26e028,6,1,00:00:03.445000,0,3,2,,3869684,42,Ball Receipt,785,Croatia,9,From Kick Off,785,Croatia,,33018.0,Joško Gvardiol,5.0,Left Center Back,,,,,,,,,,,,,39.2,35.4,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
86253406-b533-4b7e-b5c0-5462e9a58edc,7,1,00:00:03.445000,0,3,2,1.477222,3869684,43,Carry,785,Croatia,9,From Kick Off,785,Croatia,,33018.0,Joško Gvardiol,5.0,Left Center Back,,,,,,,42.8,33.8,,,,,39.2,35.4,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
3ffb4ba7-caa5-49e2-afcb-77403365a161,8,1,00:00:04.922000,0,4,2,2.355025,3869684,30,Pass,785,Croatia,9,From Kick Off,785,Croatia,,33018.0,Joško Gvardiol,5.0,Left Center Back,22041.0,Marko Livaja,53.75686,0.5219149,3.0,High Pass,89.4,60.6,38.0,Left Foot,,,42.8,33.8,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,Marko Livaja,14.0
54e4db00-7668-4753-981f-d6511302ece8,9,1,00:00:07.277000,0,7,2,,3869684,42,Ball Receipt,785,Croatia,9,From Kick Off,785,Croatia,,22041.0,Marko Livaja,23.0,Center Forward,,,,,,,,,,,,,88.0,61.5,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,
1fd46fd6-fcda-4eda-af12-2550f05ac90f,10,1,00:00:07.277000,0,7,2,0.0,3869684,4,Duel,785,Croatia,9,From Kick Off,785,Croatia,,22041.0,Marko Livaja,23.0,Center Forward,,,,,,,,,,,10.0,Aerial Lost,89.4,60.6,,Complete,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,
